name,pos,team
Xavier Johnson,WR,CIN
Xavier Legette,WR,CAR
Xavier Loyd,WR,KC
Xavier Restrepo,WR,TEN
Xavier Smith,WR,LA
Xavier Weaver,WR,ARI
Xavier Worthy,WR,KC
Zachariah Branch,WR,ATL
Zavion Thomas,WR,CHI
Zay Flowers,WR,BAL
